,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
256,Frame13_Acquisition_3958_0_1.png,6,940.2,850.9,12.98,10.13,105.11,4.48
257,Frame13_Acquisition_3958_0_1.png,7,629.4,849.8,22.75,15.19,78.05,7.85
258,Frame13_Acquisition_3958_0_1.png,8,260.5,832.1,13.57,9.31,109.0,4.68
259,Frame13_Acquisition_3958_0_1.png,9,20.4,778.8,16.2,14.34,89.89,5.59
260,Frame13_Acquisition_3958_0_1.png,10,735.6,517.9,19.21,10.89,131.87,6.63
261,Frame13_Acquisition_3958_0_1.png,11,5.7,487.6,19.46,16.89,147.5,6.71
262,Frame13_Acquisition_3958_0_1.png,12,32.4,438.6,19.03,15.83,7.85,6.56
263,Frame13_Acquisition_3958_0_1.png,13,746.2,423.0,20.17,8.35,162.92,6.96
264,Frame13_Acquisition_3958_0_1.png,14,186.3,398.4,17.12,14.75,21.93,5.9
265,Frame13_Acquisition_3958_0_1.png,15,528.3,319.6,5.61,5.09,53.62,1.94
266,Frame13_Acquisition_3958_0_1.png,16,673.3,321.3,15.45,10.02,110.34,5.33
267,Frame13_Acquisition_3958_0_1.png,17,644.9,284.9,20.79,13.53,112.73,7.17
268,Frame13_Acquisition_3958_0_1.png,18,980.5,237.9,17.32,11.75,162.51,5.97
269,Frame13_Acquisition_3958_0_1.png,19,127.8,190.7,9.0,7.08,76.25,3.1
270,Frame13_Acquisition_3958_0_1.png,20,681.3,167.5,12.48,11.04,60.86,4.3
271,Frame13_Acquisition_3958_0_1.png,21,537.1,109.3,8.98,8.02,69.95,3.1
272,Frame13_Acquisition_3958_0_1.png,22,717.9,76.3,15.8,11.79,5.7,5.45
273,Frame13_Acquisition_3958_0_1.png,23,460.3,32.6,13.01,9.36,82.85,4.49
274,Frame13_Acquisition_3958_1_0.png,1,91.1,995.9,6.74,5.85,116.99,2.32
275,Frame13_Acquisition_3958_1_0.png,2,670.8,979.8,24.95,18.72,20.42,8.61
276,Frame13_Acquisition_3958_1_0.png,3,376.1,943.5,15.73,8.1,172.95,5.43
277,Frame13_Acquisition_3958_1_0.png,4,611.1,866.1,14.86,4.14,96.16,5.13
278,Frame13_Acquisition_3958_1_0.png,5,844.1,697.5,8.96,6.28,119.63,3.09
279,Frame13_Acquisition_3958_1_0.png,6,576.7,650.3,14.65,7.18,13.09,5.05
280,Frame13_Acquisition_3958_1_0.png,7,117.6,482.9,18.79,13.55,70.93,6.48
281,Frame13_Acquisition_3958_1_0.png,8,48.2,455.1,10.18,4.36,84.19,3.51
282,Frame13_Acquisition_3958_1_0.png,9,1020.4,447.7,14.37,6.5,174.85,4.96
283,Frame13_Acquisition_3958_1_0.png,10,297.2,311.5,7.62,6.38,149.49,2.63
